[['X', 'X', 'X'], ['X', None, 'X'], ['O', None, None]], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], ['O', None, None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'X', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'X', 'X']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'X', 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'X', 'O']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'X', None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'X', None]], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'X', None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'O', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'O', 'X']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'O', 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'O', 'O']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'O', None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'O', None]], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, 'O', None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, 'X']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, 'X']], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, 'O']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, 'O']], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, None]], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, None]], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'X'], [None, None, None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', 'X', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', 'X', 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', 'X', None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', 'X', None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', 'O', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', 'O', 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', 'O', None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', 'O', None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', None, 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', None, 'X']], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', None, 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', None, 'O']], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', None, None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', None, None]], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['X', None, None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', 'X', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', 'X', 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', 'X', None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', 'X', None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', 'O', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', 'O', 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', 'O', None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', 'O', None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', None, 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', None, 'X']], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', None, 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', None, 'O']], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', None, None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', None, None]], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], ['O', None, None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'X', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'X', 'X']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'X', 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'X', 'O']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'X', None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'X', None]], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'X', None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'O', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'O', 'X']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'O', 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'O', 'O']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'O', None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'O', None]], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, 'O', None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, 'X']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, 'X']], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, 'O']], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, 'O']], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, 'O']], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, None]], 5: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, None]], 7: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, None]], 8: 0.0
[['X', 'X', 'X'], ['X', None, 'O'], [None, None, None]], 9: 0.0
[['X', 'X', 'X'], ['X', None, None], ['X', 'X', 'X']], 5: 0.0
[['X', 'X', 'X'], ['X', None, None], ['X', 'X', 'X']], 6: 0.0
